count,text
0,Only two more $5 BBQ Wednesdays left this summer! Join us on the front lawn from 11:30-1:30.… https://t.co/P0EHBPbPbM
0,"Only a few days left to see Industrial Design's ""Adventure Awaits"" exhibit at the CEIS before it leaves on July 18!… https://t.co/Mi2jBSnYMf"
0,"Not sure how to start preparing for the CO-OP + CAREER Fair and Mock Interview Day? Don't stress,… https://t.co/A9anbKC905"
0,"Miss the merch giveaway? No problem! We'll be in CIS at 4pm with tee shirts, stickers and a chance to win an Amazon… https://t.co/9rO13QfAqr"
0,Looking to find a club or student organization that's a great fit for you? Join us for the Fall Involvement Fair to… https://t.co/Laf1bD9vE1
0,Learn how virtual reality is used in Wentworth’s classrooms by attending the VR Showcase starting tomorrow at noon… https://t.co/28KkrmXzYv
0,Learn how to stand out from the crowd at the CO-OP + CAREER Fair from the employers themselves tonight at the Ask t… https://t.co/B3VXNQtVmg
0,"Learn about the latest cutting edge research and enjoy complementary refreshments at the ""Ambitious and Innovative… https://t.co/KI9WKFJQlO"
0,"Join President Thompson for the Fall Harvest Lunch today in the cafeteria from noon to 1:30 PM. Free food, cookie d… https://t.co/v0qy26drpb"
0,Join @coopsandcareers for Wentworth on the Road September 3rd &amp; 4th. Don’t miss this chance to meet hiring managers… https://t.co/lEOiQrG21u
0,It's going to be a hot next few days Wentworth. Stay inside when you can and drink plenty of water of water!… https://t.co/HeBKQ2EyPf
0,Head over to the Student Employment Job Fair today from 12:30 to 3:30 in Watson Auditorium. #campuslife #workstudy… https://t.co/3h9p23ekET
0,Head over to Tansey Gym for the inaugural reception that starts at noon. Celebrate President Thompson's inauguratio… https://t.co/F5vdtoIfxq
0,"Happy Thanksgiving, everyone! https://t.co/6O9phpL2zy"
0,Happy Holidays from everyone at Wentworth! https://t.co/ft5T613txY https://t.co/eixMVOtmOr
0,Happy Birthday to President Pantić! It has been an honor to have her as our president for 14 years. Read more about… https://t.co/RAKrEKPoYm
0,Graduating seniors: today is your last chance to visit @WITCoopsCareers photo booth out on the quad from 11:30am-1:… https://t.co/EdgoapBS4i
0,"Farmer's Market TODAY in Beatty Hall from 11-2. Meal plan, cash and credit accepted. https://t.co/JdazasYVVE"
0,FACULTY &amp; STAFF: Interested in learning more about how you can support motivation in the classroom? Join Prof Jonat… https://t.co/ykwWVCAi30
0,Do you think you know a lot about Wentworth? Then put your knowledge to the test with tomorrow's interactive scaven… https://t.co/doGAcsLRkv
0,Do you know how to change a tire? Join us at the Lunch and Learn session in the CEIS today at 11am to find out how.… https://t.co/pWf3YXeX0f
0,Congratulations leopards!!! https://t.co/hDKwcHusB3
0,Congrats to all of our UMOJA Cultural Graduation participants! The ceremony is 6 - 8pm tonight in Watson Auditorium… https://t.co/YujkgEbl1p
0,Check out the PDDC's collaboration with MCPHS students to design a new syringe that aims to improve dosing accuracy… https://t.co/qaWLsKl61l
