count,text
3,"@nlentine Not only floofy, but has the apparent ability to lounge comfortably anywhere, which has to be some sort o… https://t.co/fTyW7T4I4f"
3,@lukeauburn Oh no! What a cutie. We hope your little cub feels better soon... Hopefully after a Tiger snooze.… https://t.co/f9sePHesvD
3,@iamths1973 Looking like such a happy graduate! We're happy to have you as an alumni Tiger! #NationalComplimentDay
3,"@eastenddennis Just looking at these, we instantly feel safer from supervillians, the First Order and boredom at wo… https://t.co/eplL9QcKai"
3,@RITscience It's great when even a  floor can teach us to look at things from many different angles! A favorite spot! #NationalComplimentDay
3,@JOSHOWENDESIGN @VignelliCenter @RIT_artdesign @RIT_ID Read the podcast transcript here: https://t.co/jFOJWW8mCu
3,"@Iovefrog Even if he is what his name indicates, Stinky is the coolest bearded dragon we've ever seen. Would love t… https://t.co/Duq73Y3Yit"
3,@CampusSonar @mulder_michelle Harvey is both adorable *and* very brand aware! The kind of face that can brighten an… https://t.co/cdwn51KWxA
2,@ritlibraries They look like the type we would cross an ocean to find Nemo with. We love their colors!… https://t.co/quCqk67FTJ
2,@ghostorii Peter has some sweet shades! He has great style. #NationalComplimentDay
2,@KinSejpal Look at that face! We love a snowy pup. 12/10 would play in the snow with this good doggo any day. #NationalComplimentDay
2,"@ElephantEating It looks like a lot of hard work has been done here! We're proud to have such smart, hardworking fa… https://t.co/GLOnTGqhKM"
1,@nick_nouse @RIT_artdesign Welcome aboard!
1,@mdaneman Since 1978! Longest undefeated streak of any Tigers we can think of! #NationalComplimentDay #Undefeated
1,@RyConw @Srat2 We love that you're spreading the love. #NationalComplimentDay
1,"@MountToday Congratulations, Tiquel!"
0,@Taylor_M_Ball @RITNTID We love laptop stickers (and our @RITNTID alumni!) Happy Friday! #NationalComplimentDay
