count,text
31,"Over time, this incredible 17th-century map has gone through many changes that have altered its appearance.

Now, a… https://t.co/UK7wYzueze"
31,".@llilasbenson and @nolajazzmuseum joined forces to make archives of colonial documents more useful to teachers, st… https://t.co/YP0LyihXAN"
30,This is the most distant dusty galaxy we've ever seen in an unobstructed way: https://t.co/ZSjIYTqOE1 via @utastronomy
30,Have a startup idea? Want to pitch it at @SXSW? $50k in prize money is up for grabs at the #PitchTexas student star… https://t.co/x6qiRMYJ0O
29,The @TexasScience researchers have potentially unlocked clues about a set of rare genetic conditions: https://t.co/Q2tBVO9jnp
29,"Meet Brooke Bernard, BSW ’19. After graduation this weekend, she wants to make her mark on the juvenile justice sys… https://t.co/tP7SheKfzX"
28,"Professor Kevin Cokley uses charisma, performance and powerful anecdotes to explore the impostor phenomenon and oth… https://t.co/Z1RH0fzqVm"
27,Connecting Communities: @CockrellSchool alumnus Elie Homsi found his passion building footbridges for isolated rura… https://t.co/ZRZaLKaTqz
26,"“Data is everywhere, but it’s mostly unusable. Organizing it in meaningful ways will radically and rapidly revoluti… https://t.co/AnH1DRrMmY"
26,This playlist was specifically curated to help UT students focus on what’s important right now — Fall semester fina… https://t.co/FPkXfuGoCd
26,"Stay focused, Longhorns 🤘 You got this https://t.co/Ju7WalJ1fY"
26,It's the only degree of its kind in the nation and brings together expert designers with health design specialists… https://t.co/IlZglVmdcJ
26,ICYMI: Innovations in deep geothermal wells could solve global energy crisis “within a decade”… https://t.co/UWRdPYHpyx
26,"Education as a force for positive change is a major theme in @UTCompSci student Dora Gurfinkel’s life. 

So much so… https://t.co/WtnmsCreU7"
25,"@UTAustin2020 Here’s a hint: 

This Texas Ex can always be found at DKR-Texas Memorial Stadium cheering for… https://t.co/79V5i2kmJ6"
23,Visiting Austin? Don't miss @blantonmuseum’s Ellsworth Kelly chapel: https://t.co/bahBL4ANxg via @chicagotribune
23,New research from @TexasScience shows a mother’s obesity in pregnancy can affect her child’s development years down… https://t.co/egu0EQ2pZv
23,"It can be tough to navigate conversations about mental health, but showing someone you’re there for them can be lif… https://t.co/3gcXFDwGjt"
22,100 Passports | Global leadership director prepares middle schoolers for world travel: https://t.co/wdjyFm0pdl via… https://t.co/SZFZPlAuPv
22,".@utexascoe expert Kristin Neff (@self_compassion) says so-called “guilty” pleasures can actually be good for us, s… https://t.co/C8sD2NNoBE"
21,"Even if your intention is to enjoy time with your loved ones, the potential dopamine-boosting rewards on your smart… https://t.co/gfWU9fIOuG"
20,"With our phones continuously tugging at our attention, being fully present with friends and family during the holid… https://t.co/LaVDFYs2Tp"
19,The Community Classroom is a series of eight-week courses that offer advocacy training and resources for concerned… https://t.co/tyt39T78jJ
18,"UT astronomer Keith Hawkins knows something about twin similarities and differences, being himself a fraternal twin… https://t.co/HNw3r037zi"
18,Science says January plays host to the most miserable moods of the year: https://t.co/EY3dVLaDGd @abmarkman
18,"Looking for the perfect book to pick up this weekend? 

Kick off the new year with these five new books form the Lo… https://t.co/o0a2g9i9ys"
18,"@UTAustin2020 @TexasFootball Need another hint?

This Longhorn is a graduate of @TexasSteveHicks https://t.co/eoGaIkSnV5"
18,@UTAustin2020 @TexasFootball @TexasSteveHicks @nytimes @HookEm @TexasLonghorns @TEDTalks @netflix @TexasExes… https://t.co/t9mMgzq7ro
18,.@UTexasMcCombs alumni share insights about how participation in athletics helped prepare them for successful busin… https://t.co/nGHtqK5J0d
17,A team of scientists including @txgeosciences researchers has found evidence for iron “snow” in Earth’s core: https://t.co/fvdZDcMDcR
16,The new laws of startup attraction show tech startups are drawn to cities with small but frequent funding opportuni… https://t.co/Vg59lRBHUO
15,New research from @LiberalArtsUT questions the idea of fatherhood in some of humanity’s closest relatives:… https://t.co/SQMP7cEGkX
15,"@UTAustin2020 @TexasFootball @TexasSteveHicks Are you still guessing? 

Maybe this will help:

This UT graduate is… https://t.co/Y3PRaHnux7"
14,"Tap into Austin’s love of music and art with a new collection of playlists curated by prominent musicians, composer… https://t.co/14Kat8fMmT"
14,"@UTAustin2020 @TexasFootball @TexasSteveHicks @nytimes @HookEm @TexasLonghorns Ok, y’all asked nicely, so here’s an… https://t.co/GYfCTfmRIm"
12,This Longhorn is pioneering new models of care: https://t.co/V8YPAKneKx via @DellMedSchool
